Detector Type, Descriptor Type, Image, TTC Lidar, TTC Camera, TTC Camera – Lidar
FAST, BRIEF,15,8.32,10.48,2.156
FAST, BRIEF,16,8.90,10.34,1.442
FAST, BRIEF,17,11.03,9.99,-1.042
FAST, BRIEF,18,8.54,10.65,2.115
FAST, ORB,1,12.29,12.54,0.253
FAST, ORB,2,13.35,12.53,-0.828
FAST, ORB,3,16.38,13.77,-2.618
FAST, ORB,4,14.08,12.53,-1.546
FAST, ORB,5,12.73,13.18,0.449
FAST, ORB,6,13.75,12.72,-1.032
FAST, ORB,7,13.73,12.93,-0.805
FAST, ORB,8,13.79,11.60,-2.194
FAST, ORB,9,12.06,13.28,1.218
FAST, ORB,10,11.86,12.56,0.697
FAST, ORB,11,11.97,11.71,-0.262
FAST, ORB,12,9.89,12.34,2.451
FAST, ORB,13,9.43,11.84,2.417
FAST, ORB,14,9.30,11.49,2.185
FAST, ORB,15,8.32,10.89,2.568
FAST, ORB,16,8.90,10.96,2.060
FAST, ORB,17,11.03,8.86,-2.174
FAST, ORB,18,8.54,11.63,3.094
FAST, FREAK,1,12.29,13.00,0.710
FAST, FREAK,2,13.35,12.09,-1.262
FAST, FREAK,3,16.38,14.61,-1.773
FAST, FREAK,4,14.08,13.27,-0.802
FAST, FREAK,5,12.73,12.76,0.027
FAST, FREAK,6,13.75,11.56,-2.194
FAST, FREAK,7,13.73,13.01,-0.725
FAST, FREAK,8,13.79,12.47,-1.316
FAST, FREAK,9,12.06,12.30,0.241
FAST, FREAK,10,11.86,12.72,0.855
FAST, FREAK,11,11.97,12.23,0.260
FAST, FREAK,12,9.89,11.75,1.862
FAST, FREAK,13,9.43,11.83,2.400
FAST, FREAK,14,9.30,11.60,2.303
FAST, FREAK,15,8.32,10.15,1.825
FAST, FREAK,16,8.90,10.61,1.710
FAST, FREAK,17,11.03,9.89,-1.141
FAST, FREAK,18,8.54,10.87,2.336
BRISK, BRISK,1,12.29,12.87,0.577
BRISK, BRISK,2,13.35,16.60,3.241
BRISK, BRISK,3,16.38,12.78,-3.604
BRISK, BRISK,4,14.08,14.84,0.764
BRISK, BRISK,5,12.73,28.64,15.907
BRISK, BRISK,6,13.75,17.83,4.081
BRISK, BRISK,7,13.73,15.56,1.828
BRISK, BRISK,8,13.79,15.92,2.130
BRISK, BRISK,9,12.06,13.97,1.909
BRISK, BRISK,10,11.86,10.66,-1.209
BRISK, BRISK,11,11.97,12.14,0.171
BRISK, BRISK,12,9.89,11.11,1.223
BRISK, BRISK,13,9.43,11.57,2.147
BRISK, BRISK,14,9.30,12.42,3.119
BRISK, BRISK,15,8.32,12.47,4.151
BRISK, BRISK,16,8.90,10.93,2.034
BRISK, BRISK,17,11.03,10.35,-0.680
BRISK, BRISK,18,8.54,12.35,3.816
BRISK, BRIEF,1,12.29,10.19,-2.100
BRISK, BRIEF,2,13.35,16.13,2.778
BRISK, BRIEF,3,16.38,11.57,-4.818
BRISK, BRIEF,4,14.08,17.84,3.763
BRISK, BRIEF,5,12.73,20.48,7.746
BRISK, BRIEF,6,13.75,20.60,6.853
BRISK, BRIEF,7,13.73,14.09,0.357
BRISK, BRIEF,8,13.79,19.12,5.325
BRISK, BRIEF,9,12.06,14.70,2.640
BRISK, BRIEF,10,11.86,10.18,-1.688
BRISK, BRIEF,11,11.97,11.63,-0.343
BRISK, BRIEF,12,9.89,12.69,2.798
BRISK, BRIEF,13,9.43,11.51,2.082
BRISK, BRIEF,14,9.30,10.78,1.479
BRISK, BRIEF,15,8.32,10.64,2.323
BRISK, BRIEF,16,8.90,11.72,2.822
BRISK, BRIEF,17,11.03,10.79,-0.236
BRISK, BRIEF,18,8.54,9.96,1.428
BRISK, ORB,1,12.29,11.73,-0.556
BRISK, ORB,2,13.35,15.83,2.474
BRISK, ORB,3,16.38,14.29,-2.096
BRISK, ORB,4,14.08,17.13,3.053
BRISK, ORB,5,12.73,23.88,11.147
BRISK, ORB,6,13.75,19.93,6.174
BRISK, ORB,7,13.73,12.13,-1.598
BRISK, ORB,8,13.79,16.62,2.832
BRISK, ORB,9,12.06,15.13,3.073
BRISK, ORB,10,11.86,11.26,-0.609
BRISK, ORB,11,11.97,13.49,1.526
BRISK, ORB,12,9.89,11.79,1.901
BRISK, ORB,13,9.43,11.61,2.187
BRISK, ORB,14,9.30,12.24,2.942
BRISK, ORB,15,8.32,10.88,2.555
BRISK, ORB,16,8.90,10.88,1.979
BRISK, ORB,17,11.03,8.62,-2.407
BRISK, ORB,18,8.54,11.67,3.134
BRISK, FREAK,1,12.29,11.29,-0.995
BRISK, FREAK,2,13.35,19.69,6.333
BRISK, FREAK,3,16.38,12.20,-4.180
BRISK, FREAK,4,14.08,14.84,0.764
BRISK, FREAK,5,12.73,19.92,7.190
BRISK, FREAK,6,13.75,23.01,9.257
BRISK, FREAK,7,13.73,12.05,-1.678
BRISK, FREAK,8,13.79,15.31,1.519
BRISK, FREAK,9,12.06,17.97,5.916
BRISK, FREAK,10,11.86,12.77,0.902
BRISK, FREAK,11,11.97,12.50,0.536
BRISK, FREAK,12,9.89,10.88,0.993
BRISK, FREAK,13,9.43,11.96,2.537
BRISK, FREAK,14,9.30,12.21,2.912
BRISK, FREAK,15,8.32,14.43,6.109
BRISK, FREAK,16,8.90,9.97,1.075
BRISK, FREAK,17,11.03,9.35,-1.677
BRISK, FREAK,18,8.54,11.51,2.976
ORB, BRISK,1,12.29,10.68,-1.613
ORB, BRISK,2,13.35,13.51,0.152
ORB, BRISK,3,16.38,11.28,-5.105
ORB, BRISK,4,14.08,16.49,2.413
ORB, BRISK,5,12.73,41.38,28.653
ORB, BRISK,6,13.75,10.05,-3.698
ORB, BRISK,7,13.73,27.97,14.240
ORB, BRISK,8,13.79,10.67,-3.125
ORB, BRISK,9,12.06,12.01,-0.050
ORB, BRISK,10,11.86,11.04,-0.822
ORB, BRISK,11,11.97,7.41,-4.559
ORB, BRISK,12,9.89, -inf,nan
ORB, BRISK,13,9.43,13.73,4.308
ORB, BRISK,14,9.30,11.42,2.115
ORB, BRISK,15,8.32,24.64,16.314
ORB, BRISK,16,8.90,17.20,8.298
ORB, BRISK,17,11.03,20.34,9.305
ORB, BRISK,18,8.54,55.24,46.706
ORB, BRIEF,1,12.29,12.29,-0.003
ORB, BRIEF,2,13.35,14.04,0.687
ORB, BRIEF,3,16.38,19.90,3.517
ORB, BRIEF,4,14.08,15.64,1.563
ORB, BRIEF,5,12.73,22.40,9.667
ORB, BRIEF,6,13.75,16.19,2.441
ORB, BRIEF,7,13.73,19.33,5.604
ORB, BRIEF,8,13.79,128.47,114.683
ORB, BRIEF,9,12.06,39.38,27.317
ORB, BRIEF,10,11.86,11.09,-0.776
ORB, BRIEF,11,11.97,10.08,-1.888
ORB, BRIEF,12,9.89,20.17,10.280
ORB, BRIEF,13,9.43,12.82,3.399
ORB, BRIEF,14,9.30,8.60,-0.706
ORB, BRIEF,15,8.32,18.56,10.236
ORB, BRIEF,16,8.90,10.95,2.052
ORB, BRIEF,17,11.03,8.73,-2.301
ORB, BRIEF,18,8.54,19.78,11.243
ORB, ORB,1,12.29,19.09,6.798
ORB, ORB,2,13.35, -inf,nan
ORB, ORB,3,16.38,21.86,5.480
ORB, ORB,4,14.08,25.12,11.044
ORB, ORB,5,12.73,22.15,9.417
ORB, ORB,6,13.75, -inf,nan
ORB, ORB,7,13.73, -inf,nan
ORB, ORB,8,13.79,10.94,-2.851
ORB, ORB,9,12.06, -inf,nan
ORB, ORB,10,11.86,10.42,-1.443
ORB, ORB,11,11.97,9.13,-2.840
ORB, ORB,12,9.89, -inf,nan
ORB, ORB,13,9.43,12.86,3.431
ORB, ORB,14,9.30,13.63,4.325
ORB, ORB,15,8.32, -inf,nan
ORB, ORB,16,8.90,10.22,1.320
ORB, ORB,17,11.03,14.43,3.405
ORB, ORB,18,8.54,34.46,25.923
ORB, FREAK,1,12.29,12.21,-0.082
ORB, FREAK,2,13.35,11.10,-2.250
ORB, FREAK,3,16.38,11.33,-5.056
ORB, FREAK,4,14.08,12.58,-1.500
ORB, FREAK,5,12.73,743.24,730.514
ORB, FREAK,6,13.75,65.75,51.996
ORB, FREAK,7,13.73, -inf,nan
ORB, FREAK,8,13.79,12.68,-1.109
ORB, FREAK,9,12.06,30.34,18.284
ORB, FREAK,10,11.86,24.44,12.578
ORB, FREAK,11,11.97,8.12,-3.847
ORB, FREAK,12,9.89,8.31,-1.574
ORB, FREAK,13,9.43,8.36,-1.062
ORB, FREAK,14,9.30,9.31,0.008
ORB, FREAK,15,8.32,8.13,-0.192
ORB, FREAK,16,8.90,7.77,-1.133
ORB, FREAK,17,11.03,11.32,0.292
ORB, FREAK,18,8.54,24.19,15.650
AKAZE, BRISK,1,12.29,11.85,-0.444
AKAZE, BRISK,2,13.35,13.11,-0.243
AKAZE, BRISK,3,16.38,13.09,-3.293
AKAZE, BRISK,4,14.08,13.30,-0.774
AKAZE, BRISK,5,12.73,13.20,0.468
AKAZE, BRISK,6,13.75,12.67,-1.086
AKAZE, BRISK,7,13.73,15.65,1.916
AKAZE, BRISK,8,13.79,13.60,-0.188
AKAZE, BRISK,9,12.06,14.17,2.108
AKAZE, BRISK,10,11.86,12.44,0.571
AKAZE, BRISK,11,11.97,12.09,0.126
AKAZE, BRISK,12,9.89,10.37,0.487
AKAZE, BRISK,13,9.43,10.41,0.987
AKAZE, BRISK,14,9.30,9.70,0.402
AKAZE, BRISK,15,8.32,9.48,1.160
AKAZE, BRISK,16,8.90,10.07,1.170
AKAZE, BRISK,17,11.03,8.70,-2.334
AKAZE, BRISK,18,8.54,8.67,0.135
AKAZE, BRIEF,1,12.29,12.10,-0.188
AKAZE, BRIEF,2,13.35,13.52,0.164
AKAZE, BRIEF,3,16.38,12.01,-4.378
AKAZE, BRIEF,4,14.08,13.38,-0.692
AKAZE, BRIEF,5,12.73,14.04,1.311
AKAZE, BRIEF,6,13.75,12.46,-1.289
AKAZE, BRIEF,7,13.73,15.47,1.736
AKAZE, BRIEF,8,13.79,14.66,0.871
AKAZE, BRIEF,9,12.06,12.54,0.484
AKAZE, BRIEF,10,11.86,11.98,0.116
AKAZE, BRIEF,11,11.97,12.94,0.970
AKAZE, BRIEF,12,9.89,11.20,1.308
AKAZE, BRIEF,13,9.43,10.93,1.509
AKAZE, BRIEF,14,9.30,10.81,1.506
AKAZE, BRIEF,15,8.32,9.54,1.214
AKAZE, BRIEF,16,8.90,9.53,0.632
AKAZE, BRIEF,17,11.03,8.80,-2.227
AKAZE, BRIEF,18,8.54,8.50,-0.039
AKAZE, ORB,1,12.29,11.61,-0.679
AKAZE, ORB,2,13.35,13.52,0.165
AKAZE, ORB,3,16.38,12.75,-3.640
AKAZE, ORB,4,14.08,14.34,0.260
AKAZE, ORB,5,12.73,13.63,0.900
AKAZE, ORB,6,13.75,13.65,-0.099
AKAZE, ORB,7,13.73,15.39,1.663
AKAZE, ORB,8,13.79,13.83,0.038
AKAZE, ORB,9,12.06,12.71,0.655
AKAZE, ORB,10,11.86,11.78,-0.082
AKAZE, ORB,11,11.97,12.35,0.382
AKAZE, ORB,12,9.89,10.61,0.722
AKAZE, ORB,13,9.43,11.00,1.571
AKAZE, ORB,14,9.30,9.77,0.469
AKAZE, ORB,15,8.32,10.14,1.816
AKAZE, ORB,16,8.90,9.79,0.891
AKAZE, ORB,17,11.03,9.21,-1.815
AKAZE, ORB,18,8.54,9.07,0.539
AKAZE, FREAK,1,12.29,13.01,0.721
AKAZE, FREAK,2,13.35,15.70,2.350
AKAZE, FREAK,3,16.38,16.06,-0.322
